epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,6743.12,0.8474,2.64788,0.23327,0.41861,0.0147,1.69836,0.97022,0.97196,0.98942,0.86648,0.88138,0.85345,0.85377,0.71141,0.59689,1.57504,0.06636,0.23969,0.01307,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7035.89,0.844,2.62589,0.23209,0.41256,0.01462,1.67175,0.97,0.97388,0.99009,0.86781,0.87996,0.86275,0.86216,0.71732,0.59176,1.54151,0.06695,0.23468,0.01291,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7328.38,0.83686,2.60637,0.23286,0.40811,0.01455,1.5965,0.96952,0.97502,0.99024,0.86926,0.87902,0.8681,0.86369,0.7186,0.5867,1.53198,0.0671,0.23651,0.01285,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7621.14,0.83721,2.58903,0.2305,0.41068,0.01448,1.56175,0.97005,0.97158,0.99017,0.86792,0.88351,0.86326,0.86458,0.72077,0.58737,1.51331,0.0648,0.23944,0.01287,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7915.11,0.82754,2.53782,0.22863,0.40134,0.01429,1.47002,0.97242,0.97133,0.99007,0.86962,0.88337,0.86676,0.86598,0.72285,0.58388,1.51144,0.06495,0.23268,0.01275,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8207.98,0.83367,2.52356,0.22682,0.41044,0.0145,1.49395,0.97104,0.97184,0.98996,0.87151,0.88526,0.86525,0.86582,0.72311,0.57828,1.5037,0.06567,0.22703,0.01257,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8500.52,0.8254,2.54222,0.22832,0.40646,0.01421,1.47618,0.97494,0.97178,0.99038,0.87286,0.88742,0.87473,0.87508,0.72938,0.57598,1.47688,0.06482,0.22264,0.01249,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8792.86,0.81002,2.46582,0.22645,0.40035,0.01398,1.39414,0.97297,0.97439,0.99063,0.87352,0.88356,0.87709,0.87503,0.73216,0.57323,1.47089,0.06395,0.22134,0.01242,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9086.21,0.80732,2.43897,0.22501,0.39999,0.01393,1.32012,0.97277,0.97451,0.9905,0.87357,0.89524,0.86683,0.87472,0.73238,0.57261,1.46393,0.0626,0.21947,0.01243,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9378.67,0.80755,2.4382,0.22526,0.39751,0.0138,1.28075,0.97309,0.97885,0.99084,0.87526,0.88785,0.8769,0.87635,0.73331,0.56906,1.45077,0.06185,0.21851,0.01236,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9671.72,0.80925,2.44808,0.22381,0.39675,0.01385,1.31234,0.97664,0.97517,0.99096,0.87607,0.88979,0.87767,0.87576,0.73231,0.56489,1.44273,0.06171,0.21783,0.01224,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9964.59,0.80401,2.41141,0.22273,0.38459,0.01387,1.21928,0.97561,0.97681,0.99097,0.87683,0.89424,0.87855,0.87674,0.73504,0.56251,1.43462,0.06185,0.21629,0.01218,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,10257.9,0.80404,2.40541,0.22292,0.38647,0.01386,1.24407,0.97565,0.97757,0.99095,0.87767,0.90106,0.87511,0.87745,0.73638,0.56183,1.42485,0.06165,0.21669,0.01217,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10550.9,0.80065,2.39208,0.22227,0.39595,0.01377,1.21544,0.97607,0.97707,0.99095,0.87897,0.90078,0.87814,0.87781,0.73856,0.55841,1.41733,0.0614,0.21502,0.0121,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,10843.6,0.79195,2.36511,0.21973,0.38776,0.01352,1.16833,0.97401,0.97719,0.99076,0.87964,0.89845,0.87486,0.87764,0.74036,0.55635,1.41331,0.06139,0.21575,0.01205,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,11136.1,0.7911,2.34731,0.21768,0.38788,0.01347,1.07733,0.97527,0.97808,0.99097,0.88046,0.90157,0.87891,0.87854,0.74155,0.55444,1.40444,0.06051,0.21408,0.012,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,11429.4,0.79787,2.35341,0.21964,0.38131,0.01361,1.14229,0.97506,0.97673,0.99074,0.88097,0.90345,0.87645,0.87856,0.7422,0.55283,1.39747,0.06019,0.21435,0.01196,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11721.8,0.78333,2.30673,0.21796,0.38647,0.01338,1.08804,0.97435,0.97805,0.99079,0.88155,0.90433,0.87664,0.87873,0.74275,0.54952,1.3913,0.05996,0.21547,0.01188,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,12012.8,0.78491,2.28706,0.21554,0.37196,0.0134,1.04166,0.974,0.9787,0.99097,0.88157,0.90161,0.88072,0.87877,0.74371,0.54836,1.38213,0.05951,0.21524,0.01184,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
